transaction_id,date,customer_id,corridor,agent_id,agent_name,amount_aed,fee_aed,payment_method,status
TXN03626,2024-01-03,CUS0125,India,AGT002,Priya Sharma,858.76,25,Cash,SUCCESS
TXN00263,2024-01-03,CUS0263,Egypt,AGT001,Ahmed Al Mansoori,100.0,22,Cash,SUCCESS
TXN01354,2024-01-03,CUS0424,Egypt,AGT003,Mohammad Raza,1350.52,22,Card,SUCCESS
TXN00689,2024-01-03,CUS0041,India,AGT003,Mohammad Raza,1455.95,25,Cash,SUCCESS
TXN00623,2024-01-03,CUS0749,India,AGT004,Maria Santos,1877.53,25,Cash,SUCCESS
TXN04319,2024-01-03,CUS0364,Philippines,AGT003,Mohammad Raza,941.71,20,Bank Transfer,SUCCESS
TXN01772,2024-01-03,CUS0135,Egypt,AGT005,John Mathew,1659.37,22,Cash,SUCCESS
TXN03154,2024-01-03,CUS0718,Kenya,AGT005,John Mathew,843.18,20,Card,SUCCESS
TXN02800,2024-01-03,CUS0799,Nepal,AGT008,Sarah Johnson,654.2,12,Cash,SUCCESS
TXN02630,2024-01-04,CUS0257,Sri Lanka,AGT003,Mohammad Raza,642.11,15,Cash,SUCCESS
TXN03206,2024-01-04,CUS0468,India,AGT006,Fatima Al Zaabi,956.28,25,Bank Transfer,SUCCESS
TXN00864,2024-01-04,CUS0220,India,AGT004,Maria Santos,1846.52,25,Cash,SUCCESS
TXN03659,2024-01-04,CUS0750,Philippines,AGT004,Maria Santos,943.33,20,Bank Transfer,SUCCESS
TXN00755,2024-01-04,CUS0533,Pakistan,AGT002,Priya Sharma,572.14,0,Card,FAILED
TXN01583,2024-01-04,CUS0251,Bangladesh,AGT006,Fatima Al Zaabi,486.68,15,Card,SUCCESS
TXN01507,2024-01-04,CUS0100,Pakistan,AGT001,Ahmed Al Mansoori,967.13,18,Card,SUCCESS
TXN00994,2024-01-04,CUS0730,Pakistan,AGT004,Maria Santos,636.32,18,Cash,SUCCESS
TXN02115,2024-01-04,CUS0533,Bangladesh,AGT007,Rajesh Kumar,855.57,15,Bank Transfer,SUCCESS
TXN01840,2024-01-04,CUS0118,Nepal,AGT004,Maria Santos,562.54,12,Cash,SUCCESS
TXN02920,2024-01-05,CUS0426,Sri Lanka,AGT004,Maria Santos,1041.57,15,Cash,SUCCESS
TXN03630,2024-01-05,CUS0308,Pakistan,AGT006,Fatima Al Zaabi,648.14,18,Bank Transfer,SUCCESS
TXN03264,2024-01-05,CUS0521,Pakistan,AGT005,John Mathew,1081.46,18,Cash,SUCCESS
TXN03352,2024-01-05,CUS0133,Kenya,AGT008,Sarah Johnson,852.84,20,Cash,SUCCESS
TXN00456,2024-01-05,CUS0394,Philippines,AGT004,Maria Santos,685.92,20,Card,SUCCESS
TXN03690,2024-01-05,CUS0211,Pakistan,AGT002,Priya Sharma,763.59,18,Cash,SUCCESS
TXN03622,2024-01-05,CUS0205,India,AGT003,Mohammad Raza,1326.53,25,Cash,SUCCESS
TXN04785,2024-01-05,CUS0580,Egypt,AGT001,Ahmed Al Mansoori,2009.22,22,Cash,SUCCESS
TXN00695,2024-01-05,CUS0457,India,AGT006,Fatima Al Zaabi,1413.52,25,Card,SUCCESS
TXN04177,2024-01-05,CUS0293,India,AGT006,Fatima Al Zaabi,1196.66,25,Cash,SUCCESS
TXN03615,2024-01-05,CUS0320,Philippines,AGT005,John Mathew,1087.07,20,Cash,SUCCESS
TXN01386,2024-01-05,CUS0059,Philippines,AGT003,Mohammad Raza,980.81,20,Bank Transfer,SUCCESS
TXN02046,2024-01-05,CUS0343,India,AGT008,Sarah Johnson,1603.57,25,Bank Transfer,SUCCESS
TXN02778,2024-01-05,CUS0214,India,AGT003,Mohammad Raza,1113.06,25,Bank Transfer,SUCCESS
TXN00836,2024-01-05,CUS0705,Kenya,AGT008,Sarah Johnson,1016.75,20,Cash,SUCCESS
TXN04410,2024-01-05,CUS0150,Philippines,AGT002,Priya Sharma,1136.57,20,Bank Transfer,SUCCESS
TXN04611,2024-01-05,CUS0613,Sri Lanka,AGT008,Sarah Johnson,765.26,15,Card,SUCCESS
TXN00404,2024-01-05,CUS0512,Bangladesh,AGT002,Priya Sharma,709.87,15,Card,SUCCESS
TXN04913,2024-01-06,CUS0702,Pakistan,AGT005,John Mathew,998.51,18,Bank Transfer,SUCCESS
TXN02237,2024-01-06,CUS0537,Pakistan,AGT005,John Mathew,803.43,18,Card,SUCCESS
TXN01581,2024-01-06,CUS0694,Kenya,AGT007,Rajesh Kumar,1007.16,20,Card,SUCCESS
TXN00941,2024-01-06,CUS0261,Pakistan,AGT005,John Mathew,492.73,18,Cash,SUCCESS
TXN03826,2024-01-06,CUS0234,India,AGT006,Fatima Al Zaabi,1621.82,25,Cash,SUCCESS
TXN02422,2024-01-06,CUS0148,India,AGT004,Maria Santos,1621.05,25,Cash,SUCCESS
TXN01716,2024-01-06,CUS0080,Pakistan,AGT004,Maria Santos,778.27,18,Card,SUCCESS
TXN03179,2024-01-06,CUS0778,India,AGT007,Rajesh Kumar,1551.11,25,Bank Transfer,SUCCESS
TXN04618,2024-01-06,CUS0313,Bangladesh,AGT003,Mohammad Raza,104.12,15,Cash,SUCCESS
TXN00503,2024-01-06,CUS0536,India,AGT006,Fatima Al Zaabi,696.52,25,Bank Transfer,SUCCESS
TXN03199,2024-01-06,CUS0389,India,AGT004,Maria Santos,1065.97,25,Cash,SUCCESS
TXN03536,2024-01-06,CUS0756,Sri Lanka,AGT001,Ahmed Al Mansoori,1108.75,15,Card,SUCCESS
TXN03685,2024-01-07,CUS0120,India,AGT008,Sarah Johnson,1417.11,25,Card,SUCCESS
TXN02129,2024-01-07,CUS0489,India,AGT007,Rajesh Kumar,1457.54,25,Cash,SUCCESS
TXN03093,2024-01-07,CUS0528,India,AGT002,Priya Sharma,1165.99,25,Bank Transfer,SUCCESS
TXN00509,2024-01-07,CUS0373,India,AGT008,Sarah Johnson,1217.47,25,Cash,SUCCESS
TXN02593,2024-01-07,CUS0429,Kenya,AGT004,Maria Santos,937.8,20,Cash,SUCCESS
TXN02380,2024-01-07,CUS0633,Bangladesh,AGT006,Fatima Al Zaabi,754.66,15,Card,SUCCESS
TXN00122,2024-01-07,CUS0491,Pakistan,AGT008,Sarah Johnson,581.75,18,Cash,SUCCESS
TXN01132,2024-01-07,CUS0382,India,AGT005,John Mathew,1351.89,25,Cash,SUCCESS
TXN01077,2024-01-07,CUS0224,Bangladesh,AGT007,Rajesh Kumar,373.12,0,Cash,FAILED
TXN01486,2024-01-07,CUS0504,Sri Lanka,AGT006,Fatima Al Zaabi,959.83,15,Cash,SUCCESS
TXN04147,2024-01-07,CUS0079,Egypt,AGT003,Mohammad Raza,1228.16,22,Cash,SUCCESS
TXN02510,2024-01-07,CUS0600,India,AGT005,John Mathew,723.92,25,Cash,SUCCESS
TXN01810,2024-01-07,CUS0728,Nepal,AGT005,John Mathew,761.11,12,Card,SUCCESS
TXN04278,2024-01-07,CUS0335,Pakistan,AGT008,Sarah Johnson,568.02,18,Card,SUCCESS
TXN03576,2024-01-07,CUS0358,Pakistan,AGT002,Priya Sharma,868.87,18,Bank Transfer,SUCCESS
TXN02961,2024-01-07,CUS0667,Pakistan,AGT008,Sarah Johnson,602.12,18,Bank Transfer,SUCCESS
TXN03089,2024-01-07,CUS0069,Pakistan,AGT001,Ahmed Al Mansoori,331.74,18,Cash,SUCCESS
TXN03596,2024-01-07,CUS0222,India,AGT008,Sarah Johnson,1612.72,25,Cash,SUCCESS
TXN03870,2024-01-08,CUS0786,Philippines,AGT003,Mohammad Raza,1168.95,20,Bank Transfer,SUCCESS
TXN04082,2024-01-08,CUS0656,Pakistan,AGT008,Sarah Johnson,632.43,18,Cash,SUCCESS
TXN00835,2024-01-08,CUS0599,India,AGT005,John Mathew,1187.51,25,Card,SUCCESS
TXN02697,2024-01-08,CUS0601,Philippines,AGT002,Priya Sharma,1192.08,20,Cash,SUCCESS
TXN02029,2024-01-08,CUS0427,Egypt,AGT007,Rajesh Kumar,1169.19,22,Card,SUCCESS
TXN00908,2024-01-08,CUS0228,Egypt,AGT007,Rajesh Kumar,1346.26,22,Bank Transfer,SUCCESS
TXN00181,2024-01-08,CUS0466,India,AGT002,Priya Sharma,1425.24,25,Card,SUCCESS
TXN03126,2024-01-08,CUS0572,Philippines,AGT007,Rajesh Kumar,1099.71,20,Bank Transfer,SUCCESS
TXN04161,2024-01-09,CUS0630,India,AGT008,Sarah Johnson,1204.62,25,Cash,SUCCESS
TXN04001,2024-01-09,CUS0065,India,AGT006,Fatima Al Zaabi,889.14,25,Cash,SUCCESS
TXN00371,2024-01-09,CUS0104,India,AGT002,Priya Sharma,1208.82,25,Cash,SUCCESS
TXN00322,2024-01-09,CUS0427,Philippines,AGT002,Priya Sharma,1060.69,20,Card,SUCCESS
TXN03118,2024-01-09,CUS0187,Philippines,AGT007,Rajesh Kumar,695.94,0,Bank Transfer,FAILED
TXN03455,2024-01-09,CUS0719,Kenya,AGT003,Mohammad Raza,115.11,20,Cash,SUCCESS
TXN03410,2024-01-09,CUS0358,Philippines,AGT007,Rajesh Kumar,1452.65,20,Cash,SUCCESS
TXN03846,2024-01-09,CUS0596,Nepal,AGT001,Ahmed Al Mansoori,749.08,12,Cash,SUCCESS
TXN01907,2024-01-09,CUS0038,Philippines,AGT008,Sarah Johnson,475.86,20,Cash,SUCCESS
TXN02990,2024-01-09,CUS0358,Pakistan,AGT003,Mohammad Raza,1378.8,18,Card,SUCCESS
TXN01052,2024-01-09,CUS0007,Sri Lanka,AGT002,Priya Sharma,839.06,0,Bank Transfer,FAILED
TXN00390,2024-01-09,CUS0303,India,AGT007,Rajesh Kumar,992.31,25,Cash,SUCCESS
TXN04704,2024-01-09,CUS0283,Philippines,AGT002,Priya Sharma,1056.05,20,Card,SUCCESS
TXN04087,2024-01-09,CUS0158,Philippines,AGT005,John Mathew,1132.09,0,Cash,FAILED
TXN00115,2024-01-09,CUS0415,India,AGT004,Maria Santos,1130.75,25,Cash,SUCCESS
TXN03193,2024-01-10,CUS0561,Philippines,AGT007,Rajesh Kumar,1516.05,0,Card,FAILED
TXN01139,2024-01-10,CUS0044,Bangladesh,AGT007,Rajesh Kumar,825.45,15,Cash,SUCCESS
TXN01332,2024-01-10,CUS0252,India,AGT004,Maria Santos,1638.75,25,Bank Transfer,SUCCESS
TXN02835,2024-01-10,CUS0764,Pakistan,AGT002,Priya Sharma,741.59,18,Card,SUCCESS
TXN00247,2024-01-10,CUS0220,Philippines,AGT003,Mohammad Raza,771.76,20,Card,SUCCESS
TXN03891,2024-01-10,CUS0579,Philippines,AGT006,Fatima Al Zaabi,1087.07,20,Card,SUCCESS
TXN00825,2024-01-10,CUS0191,India,AGT001,Ahmed Al Mansoori,1039.62,25,Cash,SUCCESS
TXN03678,2024-01-10,CUS0104,India,AGT002,Priya Sharma,1145.91,25,Cash,SUCCESS
TXN01342,2024-01-10,CUS0253,India,AGT002,Priya Sharma,1201.1,25,Card,SUCCESS
TXN03757,2024-01-10,CUS0410,Egypt,AGT002,Priya Sharma,1134.13,22,Cash,SUCCESS
TXN02414,2024-01-10,CUS0394,India,AGT002,Priya Sharma,869.7,25,Card,SUCCESS
TXN00540,2024-01-10,CUS0492,Kenya,AGT006,Fatima Al Zaabi,785.59,20,Cash,SUCCESS
TXN02790,2024-01-11,CUS0244,Bangladesh,AGT006,Fatima Al Zaabi,738.1,15,Cash,SUCCESS
TXN03570,2024-01-11,CUS0567,Pakistan,AGT007,Rajesh Kumar,1016.96,18,Bank Transfer,SUCCESS
TXN02293,2024-01-11,CUS0571,Sri Lanka,AGT001,Ahmed Al Mansoori,769.2,15,Cash,SUCCESS
TXN01602,2024-01-11,CUS0513,India,AGT006,Fatima Al Zaabi,1694.96,0,Card,FAILED
TXN03400,2024-01-11,CUS0154,Philippines,AGT005,John Mathew,790.81,20,Cash,SUCCESS
TXN04584,2024-01-11,CUS0458,India,AGT002,Priya Sharma,1482.24,25,Card,SUCCESS
TXN02730,2024-01-11,CUS0385,India,AGT005,John Mathew,1025.29,25,Cash,SUCCESS
TXN02357,2024-01-11,CUS0340,India,AGT001,Ahmed Al Mansoori,1067.06,25,Cash,SUCCESS
TXN04944,2024-01-11,CUS0749,India,AGT003,Mohammad Raza,937.86,25,Card,SUCCESS
TXN02098,2024-01-12,CUS0570,Bangladesh,AGT005,John Mathew,474.91,15,Bank Transfer,SUCCESS
TXN02766,2024-01-12,CUS0387,Pakistan,AGT008,Sarah Johnson,996.88,18,Card,SUCCESS
TXN01334,2024-01-12,CUS0425,India,AGT003,Mohammad Raza,1736.66,0,Card,FAILED
TXN03987,2024-01-12,CUS0162,Pakistan,AGT006,Fatima Al Zaabi,932.76,18,Card,SUCCESS
TXN01624,2024-01-12,CUS0714,India,AGT005,John Mathew,959.47,25,Cash,SUCCESS
TXN03772,2024-01-12,CUS0682,India,AGT001,Ahmed Al Mansoori,1020.87,25,Cash,SUCCESS
TXN02856,2024-01-12,CUS0413,Philippines,AGT007,Rajesh Kumar,761.44,20,Bank Transfer,SUCCESS
TXN04577,2024-01-12,CUS0004,India,AGT004,Maria Santos,776.29,0,Card,FAILED
TXN02543,2024-01-12,CUS0781,Pakistan,AGT006,Fatima Al Zaabi,747.92,18,Bank Transfer,SUCCESS
TXN00368,2024-01-12,CUS0690,Kenya,AGT008,Sarah Johnson,953.59,20,Cash,SUCCESS
TXN01307,2024-01-12,CUS0248,India,AGT005,John Mathew,1210.15,25,Cash,SUCCESS
TXN03770,2024-01-12,CUS0518,Philippines,AGT001,Ahmed Al Mansoori,750.71,20,Cash,SUCCESS
TXN02600,2024-01-12,CUS0337,Philippines,AGT005,John Mathew,767.19,20,Cash,SUCCESS
TXN02048,2024-01-12,CUS0608,Philippines,AGT008,Sarah Johnson,897.49,20,Cash,SUCCESS
TXN01270,2024-01-12,CUS0757,India,AGT003,Mohammad Raza,1644.99,25,Bank Transfer,SUCCESS
TXN00630,2024-01-12,CUS0127,Pakistan,AGT003,Mohammad Raza,1062.61,18,Card,SUCCESS
TXN04100,2024-01-12,CUS0242,Egypt,AGT003,Mohammad Raza,1123.85,22,Card,SUCCESS
TXN03565,2024-01-12,CUS0429,Pakistan,AGT001,Ahmed Al Mansoori,1030.01,18,Cash,SUCCESS
TXN02170,2024-01-12,CUS0717,India,AGT002,Priya Sharma,1367.89,25,Cash,SUCCESS
TXN04686,2024-01-12,CUS0432,Kenya,AGT008,Sarah Johnson,1139.63,20,Cash,SUCCESS
TXN02997,2024-01-13,CUS0052,Bangladesh,AGT002,Priya Sharma,754.13,15,Cash,SUCCESS
TXN04465,2024-01-13,CUS0728,India,AGT002,Priya Sharma,991.19,25,Cash,SUCCESS
TXN03609,2024-01-13,CUS0277,Kenya,AGT003,Mohammad Raza,565.37,20,Bank Transfer,SUCCESS
TXN03211,2024-01-13,CUS0002,Bangladesh,AGT003,Mohammad Raza,948.53,15,Cash,SUCCESS
TXN04851,2024-01-13,CUS0186,Philippines,AGT006,Fatima Al Zaabi,191.3,20,Card,SUCCESS
TXN02370,2024-01-13,CUS0054,Philippines,AGT003,Mohammad Raza,1233.67,20,Card,SUCCESS
TXN02077,2024-01-13,CUS0301,Pakistan,AGT003,Mohammad Raza,947.79,18,Cash,SUCCESS
TXN04377,2024-01-13,CUS0430,Pakistan,AGT006,Fatima Al Zaabi,230.8,18,Card,SUCCESS
TXN04446,2024-01-13,CUS0144,Philippines,AGT002,Priya Sharma,694.43,20,Card,SUCCESS
TXN04102,2024-01-14,CUS0234,Kenya,AGT003,Mohammad Raza,728.03,20,Bank Transfer,SUCCESS
TXN02125,2024-01-14,CUS0578,India,AGT006,Fatima Al Zaabi,1208.09,25,Cash,SUCCESS
TXN01121,2024-01-14,CUS0269,Nepal,AGT003,Mohammad Raza,798.99,12,Card,SUCCESS
TXN04894,2024-01-14,CUS0421,India,AGT006,Fatima Al Zaabi,1155.35,25,Bank Transfer,SUCCESS
TXN03858,2024-01-14,CUS0682,Philippines,AGT008,Sarah Johnson,1059.66,20,Bank Transfer,SUCCESS
TXN02740,2024-01-14,CUS0741,Bangladesh,AGT001,Ahmed Al Mansoori,879.33,15,Cash,SUCCESS
TXN01512,2024-01-14,CUS0717,Pakistan,AGT005,John Mathew,753.52,18,Cash,SUCCESS
TXN01446,2024-01-14,CUS0391,India,AGT008,Sarah Johnson,965.51,25,Cash,SUCCESS
TXN02970,2024-01-14,CUS0761,India,AGT002,Priya Sharma,1297.22,25,Cash,SUCCESS
TXN02786,2024-01-14,CUS0200,Pakistan,AGT007,Rajesh Kumar,715.54,18,Card,SUCCESS
TXN04151,2024-01-14,CUS0606,Bangladesh,AGT003,Mohammad Raza,687.32,15,Bank Transfer,SUCCESS
TXN00066,2024-01-15,CUS0183,India,AGT005,John Mathew,1688.25,25,Bank Transfer,SUCCESS
TXN01192,2024-01-15,CUS0476,India,AGT005,John Mathew,719.75,25,Bank Transfer,SUCCESS
TXN03065,2024-01-15,CUS0379,Philippines,AGT004,Maria Santos,491.09,20,Cash,SUCCESS
TXN01900,2024-01-15,CUS0438,India,AGT007,Rajesh Kumar,1093.63,25,Bank Transfer,SUCCESS
TXN02517,2024-01-15,CUS0401,India,AGT006,Fatima Al Zaabi,1230.92,25,Bank Transfer,SUCCESS
TXN02311,2024-01-15,CUS0395,India,AGT005,John Mathew,1084.56,25,Bank Transfer,SUCCESS
TXN00446,2024-01-15,CUS0461,Bangladesh,AGT004,Maria Santos,840.63,15,Cash,SUCCESS
TXN01793,2024-01-15,CUS0361,Philippines,AGT008,Sarah Johnson,856.76,20,Bank Transfer,SUCCESS
TXN02255,2024-01-15,CUS0368,Bangladesh,AGT005,John Mathew,437.0,15,Cash,SUCCESS
TXN03325,2024-01-15,CUS0713,Philippines,AGT006,Fatima Al Zaabi,1198.05,20,Card,SUCCESS
TXN01861,2024-01-16,CUS0111,Egypt,AGT006,Fatima Al Zaabi,1055.68,22,Cash,SUCCESS
TXN00099,2024-01-16,CUS0021,Egypt,AGT004,Maria Santos,1101.69,22,Cash,SUCCESS
TXN02814,2024-01-16,CUS0768,Pakistan,AGT003,Mohammad Raza,722.9,18,Card,SUCCESS
TXN03112,2024-01-16,CUS0733,Philippines,AGT008,Sarah Johnson,823.55,20,Cash,SUCCESS
TXN03594,2024-01-16,CUS0488,India,AGT008,Sarah Johnson,667.4,25,Cash,SUCCESS
TXN02779,2024-01-16,CUS0798,Pakistan,AGT006,Fatima Al Zaabi,785.18,18,Card,SUCCESS
TXN00948,2024-01-16,CUS0642,India,AGT007,Rajesh Kumar,950.91,25,Cash,SUCCESS
TXN01394,2024-01-16,CUS0298,Pakistan,AGT003,Mohammad Raza,832.77,18,Card,SUCCESS
TXN02460,2024-01-16,CUS0477,India,AGT007,Rajesh Kumar,1369.92,25,Bank Transfer,SUCCESS
TXN00304,2024-01-16,CUS0658,Philippines,AGT005,John Mathew,1064.8,20,Cash,SUCCESS
TXN00902,2024-01-16,CUS0422,Bangladesh,AGT007,Rajesh Kumar,617.4,15,Card,SUCCESS
TXN00895,2024-01-16,CUS0231,Egypt,AGT005,John Mathew,1556.11,22,Bank Transfer,SUCCESS
TXN02112,2024-01-16,CUS0471,India,AGT008,Sarah Johnson,1141.39,25,Card,SUCCESS
TXN02453,2024-01-16,CUS0281,Pakistan,AGT001,Ahmed Al Mansoori,783.88,18,Cash,SUCCESS
TXN00403,2024-01-17,CUS0387,India,AGT007,Rajesh Kumar,1201.89,25,Cash,SUCCESS
TXN01165,2024-01-17,CUS0393,Kenya,AGT002,Priya Sharma,1241.43,20,Bank Transfer,SUCCESS
TXN01684,2024-01-17,CUS0584,India,AGT002,Priya Sharma,1316.77,25,Card,SUCCESS
TXN01430,2024-01-17,CUS0028,Nepal,AGT008,Sarah Johnson,550.17,12,Cash,SUCCESS
TXN03888,2024-01-17,CUS0466,Philippines,AGT002,Priya Sharma,856.23,20,Cash,SUCCESS
TXN03470,2024-01-17,CUS0470,India,AGT003,Mohammad Raza,1121.28,0,Cash,FAILED
TXN03700,2024-01-17,CUS0686,India,AGT005,John Mathew,1119.82,25,Cash,SUCCESS
TXN04614,2024-01-17,CUS0720,Pakistan,AGT003,Mohammad Raza,677.03,0,Cash,FAILED
TXN00929,2024-01-17,CUS0340,Pakistan,AGT005,John Mathew,1175.73,18,Cash,SUCCESS
TXN00014,2024-01-17,CUS0275,Nepal,AGT007,Rajesh Kumar,255.61,0,Bank Transfer,FAILED
TXN01730,2024-01-17,CUS0217,Pakistan,AGT007,Rajesh Kumar,1241.16,18,Cash,SUCCESS
TXN04689,2024-01-17,CUS0585,Pakistan,AGT001,Ahmed Al Mansoori,453.53,18,Card,SUCCESS
TXN03182,2024-01-17,CUS0505,Philippines,AGT001,Ahmed Al Mansoori,1040.98,20,Cash,SUCCESS
TXN04979,2024-01-17,CUS0055,India,AGT004,Maria Santos,1340.26,25,Cash,SUCCESS
TXN00828,2024-01-17,CUS0058,India,AGT003,Mohammad Raza,1011.77,25,Cash,SUCCESS
TXN01675,2024-01-17,CUS0516,Pakistan,AGT003,Mohammad Raza,1187.69,18,Cash,SUCCESS
TXN03597,2024-01-18,CUS0165,Pakistan,AGT003,Mohammad Raza,566.39,0,Cash,FAILED
TXN01557,2024-01-18,CUS0519,India,AGT002,Priya Sharma,1528.89,25,Bank Transfer,SUCCESS
TXN03925,2024-01-18,CUS0223,Sri Lanka,AGT002,Priya Sharma,690.9,15,Cash,SUCCESS
TXN00831,2024-01-18,CUS0534,India,AGT002,Priya Sharma,716.0,25,Cash,SUCCESS
TXN02504,2024-01-18,CUS0069,India,AGT007,Rajesh Kumar,979.59,0,Cash,FAILED
TXN04032,2024-01-18,CUS0306,Kenya,AGT007,Rajesh Kumar,546.38,20,Cash,SUCCESS
TXN01865,2024-01-18,CUS0369,Nepal,AGT001,Ahmed Al Mansoori,834.78,12,Card,SUCCESS
TXN03336,2024-01-18,CUS0034,India,AGT006,Fatima Al Zaabi,716.83,25,Cash,SUCCESS
TXN00564,2024-01-18,CUS0268,India,AGT006,Fatima Al Zaabi,1082.63,25,Cash,SUCCESS
TXN02204,2024-01-18,CUS0418,Bangladesh,AGT003,Mohammad Raza,428.41,0,Cash,FAILED
TXN00863,2024-01-18,CUS0531,Kenya,AGT001,Ahmed Al Mansoori,1391.04,20,Bank Transfer,SUCCESS
TXN00578,2024-01-18,CUS0124,Philippines,AGT003,Mohammad Raza,1108.13,20,Cash,SUCCESS
TXN03192,2024-01-18,CUS0584,India,AGT008,Sarah Johnson,1456.44,25,Cash,SUCCESS
TXN04664,2024-01-18,CUS0058,Nepal,AGT006,Fatima Al Zaabi,515.16,12,Card,SUCCESS
TXN03365,2024-01-18,CUS0318,Sri Lanka,AGT004,Maria Santos,590.47,15,Cash,SUCCESS
TXN02626,2024-01-18,CUS0197,Philippines,AGT007,Rajesh Kumar,667.51,20,Cash,SUCCESS
TXN04434,2024-01-18,CUS0022,Bangladesh,AGT003,Mohammad Raza,582.07,15,Card,SUCCESS
TXN01043,2024-01-19,CUS0670,Bangladesh,AGT008,Sarah Johnson,926.52,0,Bank Transfer,FAILED
TXN00932,2024-01-19,CUS0331,India,AGT005,John Mathew,1877.22,25,Cash,SUCCESS
TXN02622,2024-01-19,CUS0152,India,AGT002,Priya Sharma,1484.06,25,Cash,SUCCESS
TXN00344,2024-01-19,CUS0508,Kenya,AGT007,Rajesh Kumar,805.52,20,Card,SUCCESS
TXN04475,2024-01-19,CUS0586,Philippines,AGT003,Mohammad Raza,1128.37,20,Cash,SUCCESS
TXN00510,2024-01-19,CUS0230,Pakistan,AGT007,Rajesh Kumar,600.57,18,Cash,SUCCESS
TXN04755,2024-01-19,CUS0338,India,AGT007,Rajesh Kumar,1007.49,25,Cash,SUCCESS
TXN04876,2024-01-19,CUS0624,India,AGT004,Maria Santos,834.79,25,Cash,SUCCESS
TXN02713,2024-01-19,CUS0124,India,AGT007,Rajesh Kumar,1379.95,25,Card,SUCCESS
TXN01039,2024-01-19,CUS0501,India,AGT004,Maria Santos,1280.8,25,Card,SUCCESS
TXN02440,2024-01-19,CUS0008,India,AGT008,Sarah Johnson,621.63,25,Cash,SUCCESS
TXN01361,2024-01-19,CUS0008,India,AGT004,Maria Santos,1194.49,25,Bank Transfer,SUCCESS
TXN04290,2024-01-19,CUS0024,India,AGT004,Maria Santos,1418.02,25,Card,SUCCESS
